CNPJ_Companhia;Data_Referencia;Versao;ID_Documento;Nome_Companhia;ID_Capital_Social;Tipo_Capital;Data_Autorizacao_Aprovacao;Valor_Capital;Prazo_Integralizacao;Quantidade_Acoes_Ordinarias;Quantidade_Acoes_Preferenciais;Quantidade_Total_Acoes
09.391.823/0001-60;2026-12-31;1;158166;SANTO ANTONIO ENERGIA S.A.;352248;Capital Integralizado;2024-12-18;15716969251.40;N/A;1801134793836;0;1801134793836
09.414.761/0001-64;2026-12-31;1;156150;K-INFRA RODOVIA DO AÇO S.A.;348824;Capital Integralizado;2018-11-23;438326889.00;;438326889;0;438326889
09.538.973/0001-53;2026-12-31;1;158544;PDG COMPANHIA SECURITIZADORA;353161;Capital Subscrito;2024-04-26;1932239.89;;844231;0;844231
09.538.973/0001-53;2026-12-31;1;158544;PDG COMPANHIA SECURITIZADORA;353162;Capital Integralizado;2024-04-26;1932239.89;;844231;0;844231
09.584.854/0001-37;2026-12-31;1;158230;MANAUS TRANSMISSORA DE ENERGIA S.A;352401;Capital Autorizado;2021-09-27;3000000000.00;;0;0;0
09.584.854/0001-37;2026-12-31;1;158230;MANAUS TRANSMISSORA DE ENERGIA S.A;352402;Capital Emitido;2015-12-15;1115333123.00;;1255333123;0;1255333123
09.584.854/0001-37;2026-12-31;1;158230;MANAUS TRANSMISSORA DE ENERGIA S.A;352403;Capital Subscrito;2015-12-15;1115333123.00;;1255333123;0;1255333123
09.584.854/0001-37;2026-12-31;1;158230;MANAUS TRANSMISSORA DE ENERGIA S.A;352404;Capital Integralizado;2025-02-24;915333123.00;;1255333123;0;1255333123
09.611.768/0001-76;2026-12-31;1;158647;INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.;353428;Capital Autorizado;2020-06-09;600000000.00;;0;0;0
09.611.768/0001-76;2026-12-31;1;158647;INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.;353429;Capital Emitido;2020-04-30;87206313.34;;86885350;0;86885350
09.611.768/0001-76;2026-12-31;1;158647;INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.;353430;Capital Subscrito;2020-04-30;87206313.34;;86885350;0;86885350
09.611.768/0001-76;2026-12-31;1;158647;INC EMPREENDIMENTOS IMOBILIÁRIOS S.A.;353431;Capital Integralizado;2020-04-30;87206313.34;;86885350;0;86885350
09.625.321/0001-56;2026-12-31;1;158232;NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.;352405;Capital Emitido;2014-12-03;1687300000.86;;1687300000;0;1687300000
09.625.321/0001-56;2026-12-31;1;158232;NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.;352406;Capital Subscrito;2014-12-03;1687300000.86;;1687300000;0;1687300000
09.625.321/0001-56;2026-12-31;1;158232;NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.;352407;Capital Integralizado;2014-12-03;1687300000.86;;1687300000;0;1687300000
09.625.321/0001-56;2026-12-31;1;158232;NORTE BRASIL TRANSMISSORA DE ENERGIA S.A.;352408;Capital Autorizado;2014-12-03;1687400000.00;;1687300000;0;1687300000
10.139.870/0001-08;2026-12-31;1;158428;NEOGRID PARTICIPAÇÕES S.A.;352856;Capital Integralizado;2020-12-15;469907564.00;N/A;9140944;0;9140944
10.139.870/0001-08;2026-12-31;1;158428;NEOGRID PARTICIPAÇÕES S.A.;352857;Capital Autorizado;2020-10-19;800000000.00;N/A;0;0;0
10.158.356/0001-01;2026-12-31;1;158627;CPX DISTRIBUIDORA S.A.;353389;Capital Integralizado;2025-04-16;528128330.00;;57312220;0;57312220
10.158.356/0001-01;2026-12-31;1;158627;CPX DISTRIBUIDORA S.A.;353390;Capital Emitido;2025-04-16;528128330.00;;57312220;0;57312220
10.158.356/0001-01;2026-12-31;1;158627;CPX DISTRIBUIDORA S.A.;353391;Capital Subscrito;2025-04-16;528128330.00;;57312220;0;57312220
10.158.356/0001-01;2026-12-31;1;158627;CPX DISTRIBUIDORA S.A.;353392;Capital Autorizado;2025-04-16;0.00;;0;0;0
10.234.027/0001-00;2026-12-31;1;158516;LINHAS DE MACAPÁ TRANSMISSORA DE ENERGIA S/A;353096;Capital Emitido;2018-05-08;667013209.00;N/A;667013209;0;667013209
10.234.027/0001-00;2026-12-31;1;158516;LINHAS DE MACAPÁ TRANSMISSORA DE ENERGIA S/A;353097;Capital Subscrito;2018-05-08;667013209.00;N/A;667013209;0;667013209
10.234.027/0001-00;2026-12-31;1;158516;LINHAS DE MACAPÁ TRANSMISSORA DE ENERGIA S/A;353098;Capital Integralizado;2018-05-08;667013209.00;N/A;667013209;0;667013209
10.240.186/0001-00;2026-12-31;1;158522;LINHAS DE XINGU TRANSMISSORA DE ENERGIA S/A;353108;Capital Emitido;2018-05-08;632529094.00;-;632529094;0;632529094
10.240.186/0001-00;2026-12-31;1;158522;LINHAS DE XINGU TRANSMISSORA DE ENERGIA S/A;353109;Capital Integralizado;2018-05-08;632529094.00;N/A;632529094;0;632529094
10.240.186/0001-00;2026-12-31;1;158522;LINHAS DE XINGU TRANSMISSORA DE ENERGIA S/A;353110;Capital Subscrito;2018-05-08;632529094.00;-;632529094;0;632529094
10.319.900/0001-50;2026-12-31;1;158581;REGENERA RIO S.A.;353253;Capital Emitido;2025-12-10;135000273.00;N/A;85000273;0;85000273
10.319.900/0001-50;2026-12-31;1;158581;REGENERA RIO S.A.;353254;Capital Integralizado;2025-12-10;135000273.00;N/A;85000273;0;85000273
10.319.900/0001-50;2026-12-31;1;158581;REGENERA RIO S.A.;353255;Capital Subscrito;2025-12-10;135000273.00;N/A;85000273;0;85000273
10.324.624/0001-18;2026-12-31;1;158513;CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO S.A.;353089;Capital Emitido;2025-10-02;1459820458.28;;1614671591;0;1614671591
10.324.624/0001-18;2026-12-31;1;158513;CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO S.A.;353090;Capital Subscrito;2025-10-02;1459820458.28;;1614671591;0;1614671591
10.324.624/0001-18;2026-12-31;1;158513;CONCESSÃO METROVIÁRIA DO RIO DE JANEIRO S.A.;353091;Capital Integralizado;2025-10-02;1459820458.28;;1614671591;0;1614671591
10.338.320/0001-00;2026-12-31;1;157801;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A;351490;Capital Emitido;2017-01-31;33084700.00;;63084700;0;63084700
10.338.320/0001-00;2026-12-31;1;157801;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A;351491;Capital Subscrito;2017-01-31;33084700.00;;63084700;0;63084700
10.338.320/0001-00;2026-12-31;1;157801;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A;351492;Capital Integralizado;2017-01-31;33084700.00;;63084700;0;63084700
10.338.320/0001-00;2026-12-31;1;157801;AFLUENTE TRANSMISSÃO DE ENERGIA ELÉTRICA S/A;351493;Capital Autorizado;2008-12-23;70000000.00;;0;0;0
10.531.501/0001-58;2026-12-31;2;158576;CONC AUTO RAPOSO TAVARES S.A.;353238;Capital Emitido;2024-12-18;1586774518.96;;6301299488;6301299487;12602598975
10.531.501/0001-58;2026-12-31;2;158576;CONC AUTO RAPOSO TAVARES S.A.;353239;Capital Subscrito;2024-12-18;1586774518.96;;6301299488;6301299487;12602598975
10.531.501/0001-58;2026-12-31;2;158576;CONC AUTO RAPOSO TAVARES S.A.;353240;Capital Integralizado;2024-12-18;1586774518.96;;6301299488;6301299487;12602598975
10.571.175/0001-02;2026-12-31;1;158490;URBA DESENVOLVIMENTO URBANO S.A.;353033;Capital Emitido;2024-07-30;198531216.28;Até 30/07/2024;146922907;0;146922907
10.571.175/0001-02;2026-12-31;1;158490;URBA DESENVOLVIMENTO URBANO S.A.;353034;Capital Subscrito;2024-07-30;198531216.28;Até 30/07/2024;146922907;0;146922907
10.571.175/0001-02;2026-12-31;1;158490;URBA DESENVOLVIMENTO URBANO S.A.;353035;Capital Integralizado;2024-07-30;198531216.28;Não aplicável;146922907;0;146922907
10.571.175/0001-02;2026-12-31;1;158490;URBA DESENVOLVIMENTO URBANO S.A.;353036;Capital Autorizado;2012-06-29;2000000000.00;Não aplicável;0;0;0
10.629.105/0001-68;2026-12-31;1;158386;PRIO S.A.;352754;Capital Emitido;2026-01-02;15824780017.34;;872495263;0;872495263
10.629.105/0001-68;2026-12-31;1;158386;PRIO S.A.;352755;Capital Subscrito;2026-01-02;15824780017.34;;872495263;0;872495263
10.629.105/0001-68;2026-12-31;1;158386;PRIO S.A.;352756;Capital Integralizado;2026-01-02;15824780017.34;;872495263;0;872495263
10.629.105/0001-68;2026-12-31;1;158386;PRIO S.A.;352757;Capital Autorizado;2024-12-20;0.00;;400614352;0;400614352
10.739.356/0001-03;2026-12-31;2;158394;BRBI BR PARTNERS S.A;352775;Capital Emitido;2022-01-25;674940442.77;Totalmente integralizado;200546184;114440928;314987112
